USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 103276  9072 ?        Ss   01:34   0:02 /sbin/init auto noprompt
root         235  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_16]
root         236  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_17]
root         237  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_17]
root         238  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_18]
root         239  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_18]
root         240  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_19]
root         241  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_19]
root         242  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_20]
root         243  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_20]
root         244  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_21]
root         245  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_21]
root         246  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_22]
root         247  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_22]
root         248  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_23]
root         249  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_23]
root         250  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_24]
root         251  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_24]
root         252  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_25]
root         253  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_25]
root         254  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_26]
root         255  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_26]
root         256  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_27]
root         257  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_27]
root         258  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_28]
root         259  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_28]
root         260  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_29]
root         261  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_29]
root         262  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_30]
root         263  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_30]
root         264  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_31]
root         265  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_31]
root         292  0.0  0.0      0     0 ?        S    01:34   0:00 [scsi_eh_32]
root         293  0.0  0.0      0     0 ?        I<   01:34   0:00 [scsi_tmf_32]
root         316  0.0  0.0      0     0 ?        S    01:34   0:00 [jbd2/sda5-8]
root         317  0.0  0.0      0     0 ?        I<   01:34   0:00 [ext4-rsv-conver]
root         357  0.0  0.4  51904 16616 ?        S<s  01:34   0:00 /lib/systemd/systemd-journald
root         377  0.0  0.0      0     0 ?        S<   01:34   0:00 [loop0]
root         382  0.0  0.0      0     0 ?        I<   01:34   0:00 [ttm_swap]
root         384  0.0  0.0      0     0 ?        S    01:34   0:03 [irq/16-vmwgfx]
root         386  0.0  0.0      0     0 ?        S    01:34   0:00 [card0-crtc0]
root         387  0.0  0.0      0     0 ?        S<   01:34   0:00 [loop1]
root         388  0.0  0.0      0     0 ?        S    01:34   0:00 [card0-crtc1]
root         390  0.0  0.1  24364  5528 ?        Ss   01:34   0:00 /lib/systemd/systemd-udevd
root         391  0.0  0.0      0     0 ?        S    01:34   0:00 [card0-crtc2]
root         392  0.0  0.0      0     0 ?        S<   01:34   0:00 [loop2]
root         393  0.0  0.0      0     0 ?        S    01:34   0:00 [card0-crtc3]
root         394  0.0  0.0      0     0 ?        S    01:34   0:00 [card0-crtc4]
root         395  0.0  0.0      0     0 ?        S    01:34   0:00 [card0-crtc5]
root         396  0.0  0.0      0     0 ?        S<   01:34   0:00 [loop3]
root         397  0.0  0.0      0     0 ?        S    01:34   0:00 [card0-crtc6]
root         398  0.0  0.0      0     0 ?        S    01:34   0:00 [card0-crtc7]
root         402  0.0  0.0      0     0 ?        S<   01:34   0:00 [loop5]
root         404  0.0  0.0      0     0 ?        S<   01:34   0:00 [loop6]
root         409  0.0  0.0 150668   260 ?        Ssl  01:34   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         412  0.0  0.0      0     0 ?        S<   01:34   0:00 [loop7]
root         584  0.0  0.0      0     0 ?        I<   01:34   0:00 [cryptd]
